Model,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MSE,Test MSE
Random Forest,0.7614482622246945,0.4092833676135097,6.821630500450663,6.565709281568738,2.2542336882503444,3.016289009805393,46.53464268467876,43.10853837007787
Gradient Boosting,0.8399076434906202,0.46995948991962344,5.5883319834558405,6.219372672375992,2.370485047736207,2.911346553468666,31.229454357315486,38.68059643789729
XGBoost,0.8954993383303556,0.4744046986262116,4.5149861207376,6.193238237522233,1.8142555613024332,2.8914664386909035,20.385099670453158,38.3561998667075
Extra Trees,0.9030990660140228,0.39843136202835805,4.347713131684141,6.625743860415838,2.0752780874794907,3.084218638718343,18.902609475418718,43.900481703838174
KNN,0.9999999999997149,0.3055393109876199,7.458098883580857e-06,7.11894901953892,9.288520421769381e-07,3.3961134748904254,5.5623238957270034e-11,50.67943514279415
SVR (RBF),0.7353654889045098,0.42071624491636295,7.184890264490159,6.501861652413976,2.931058241739476,3.008720065425856,51.62264811276546,42.274204947131395
Decision Tree,0.8886772623640999,0.06281010854419833,4.66003135043859,8.270006430479784,2.240665636764402,3.922332063006047,21.71589218707051,68.39300636017697
AdaBoost,0.3319992147236772,0.28161253225864535,11.415248916177633,7.24054776975445,4.399333340819409,3.4566892600759846,130.30790781829464,52.425532006096134
LightGBM,0.7517574778289702,0.4680506928049202,6.958810130048023,6.230561300012208,2.3704557701287166,2.9061504618642666,48.42503842605898,38.81989411320981
Voting Regressor,0.8180508624697811,0.4675210491435312,5.9576076721436415,6.233662306296993,2.156001245209294,2.882819536888433,35.49308917518478,38.85854574894794
Stacking Regressor,0.7779808138385171,0.46364199622412816,6.581003967850536,6.256326889693082,2.321499036083018,2.8872908934613535,43.30961322486449,39.141626150696716
