Model,Train R2,Test R2,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MSE,Test MSE
Random Forest,0.7608712827123415,0.4085686130598578,6.829875177282509,6.569680264980689,2.2556219168526654,3.0152442853937065,46.64719493725978,43.160698784076736
Gradient Boosting,0.8386905854703649,0.45446245992337897,5.6095336417113995,6.309636933253649,2.3574902007499348,2.9374435419699547,31.46686767749195,39.811518229478516
XGBoost,0.8954993383303556,0.4744046986262116,4.5149861207376,6.193238237522233,1.8142555613024332,2.8914664386909035,20.385099670453158,38.3561998667075
Extra Trees,0.90445171454222,0.3971018222978412,4.3172614367174456,6.633061668540711,2.0752637366336177,3.080725303414279,18.63874631296758,43.99750709866408
KNN,0.9999999999998167,0.3055393109876199,5.97918006268585e-06,7.11894901953892,9.464761592203958e-07,3.3961134748904254,3.575059422201997e-11,50.67943514279415
SVR (RBF),0.7353654889045094,0.4207162449163798,7.184890264490163,6.501861652413881,2.9310582417394886,3.008720065425819,51.622648112765525,42.27420494713016
Decision Tree,0.8886772623640999,0.06281010854419833,4.66003135043859,8.270006430479784,2.240665636764402,3.922332063006047,21.71589218707051,68.39300636017697
AdaBoost,0.3319992147236772,0.28161253225864535,11.415248916177633,7.24054776975445,4.399333340819409,3.4566892600759846,130.30790781829464,52.425532006096134
LightGBM,0.7517574778289702,0.4680506928049202,6.958810130048023,6.230561300012208,2.3704557701287166,2.9061504618642666,48.42503842605898,38.81989411320981
Voting Regressor,0.8178536224288765,0.46555543935841004,5.960835938326848,6.245157277787514,2.1517696879148898,2.8892257981392104,35.531565083648914,39.00198942430235
Stacking Regressor,0.7766282965715019,0.46024544120911204,6.601018919985115,6.27610511842392,2.319946929545458,2.8940084311957377,43.573450782001444,39.389495457506925
